University Name,City,Category,Website,Website Domain,Confidence,Source
TCG CREST,Kolkata,INI/Deemed/Research,https://www.tcgcrest.org/,www.tcgcrest.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Variable Energy Cyclotron Centre,Kolkata,INI/Deemed/Research,https://www.vecc.gov.in/,www.vecc.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
West Bengal National University of Juridical Sciences,Kolkata,INI/Deemed/Research,https://www.nujs.edu/,www.nujs.edu,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Alipurduar University,Alipurduar,State University,https://alipurduaruniversity.ac.in/,alipurduaruniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bankura University,Bankura,State University,https://www.bankurauniv.ac.in/,www.bankurauniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bidhan Chandra Krishi Viswavidyalaya,Nadia,State University,http://bckv.edu.in/,bckv.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Biswa Bangla Biswabidyalay,Bolpur,State University,https://www.bbb.ac.in/,www.bbb.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Cooch Behar Panchanan Barma University,Cooch Behar,State University,https://cbpbu.ac.in/,cbpbu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dakshin Dinajpur University,Dakshin Dinajpur,State University,https://www.dduniv.ac.in/,www.dduniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Darjeeling Hills University,Darjeeling,State University,https://dhu.edu.in/,dhu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Diamond Harbour Women's University,Diamond Harbour,State University,https://www.dhwu.ac.in/,www.dhwu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Harichand Guruchand University,North 24 Parganas,State University,https://harichandguruchanduniversity.ac.in/,harichandguruchanduniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Hindi University, Howrah",Howrah,State University,https://www.hindiuniv.ac.in/,www.hindiuniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Kanyashree University,Krishnanagar,State University,https://www.kanyashreeuniversity.ac.in/,www.kanyashreeuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Mahatma Gandhi University, West Bengal",Mahishadal,State University,https://www.mguwb.org.in/,www.mguwb.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Murshidabad Maharaja Krishnanath University,Murshidabad,State University,https://msduniv.ac.in/,msduniv.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Rani Rashmoni Green University,Tarakeswar,State University,https://www.rrgu.in/,www.rrgu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Sadhu Ramchand Murmu University of Jhargram,Jhargram,State University,https://www.srcmujhargram.ac.in/,www.srcmujhargram.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Senate of Serampore College,Serampore,State University,https://senateofseramporecollege.edu.in/,senateofseramporecollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Sidho Kanho Birsha University,Purulia,State University,https://www.skbu.ac.in/,www.skbu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
The Sanskrit College and University,Kolkata,State University,https://www.sanskritcollegeanduniversity.ac.in/,www.sanskritcollegeanduniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
University of Calcutta,Kolkata,State University,https://www.caluniv.ac.in/,www.caluniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,State University,https://www.ubkv.ac.in/,www.ubkv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Vidyasagar University,Midnapore,State University,https://vidyasagar.ac.in/,vidyasagar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
West Bengal University of Animal and Fishery Sciences,Kolkata,State University,https://wbuafscl.ac.in/,wbuafscl.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Adamas University,Barasat,Private University,https://adamasuniversity.ac.in/,adamasuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Amity University, Kolkata",New Town,Private University,https://amity.edu/kolkata/,amity.edu,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Brainware University,Kolkata,Private University,https://www.brainwareuniversity.ac.in/,www.brainwareuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
International Management Institute Kolkata,Kolkata,Private University,https://imik.edu.in/,imik.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Sister Nivedita University,New Town,Private University,https://www.snuniv.ac.in/,www.snuniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
The Neotia University,Sarisha,Private University,https://www.tnu.in/,www.tnu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"University of Engineering & Management, Kolkata",New Town,Private University,https://uem.edu.in/,uem.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Alipurduar Government Engineering and Management College,Alipurduar,Govt Engineering,https://agemc.ac.in/,agemc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Darjeeling Hill Institute of Technology and Management,Takdah,Govt Engineering,https://dhitm.co.in/,dhitm.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Government College of Engineering & Textile Technology, Berhampore",Berhampore,Govt Engineering,http://www.gcettb.ac.in/,www.gcettb.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Government College of Engineering & Textile Technology, Serampore",Serampore,Govt Engineering,https://www.gcetts.ac.in/,www.gcetts.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Government College of Engineering and Ceramic Technology,Kolkata,Govt Engineering,https://gcect.ac.in/,gcect.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Government College of Engineering and Leather Technology,Kolkata,Govt Engineering,https://gcelt.gov.in/,gcelt.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Jalpaiguri Government Engineering College,Jalpaiguri,Govt Engineering,https://jgec.ac.in/,jgec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Abacus Institute of Engineering & Management,Mogra,Private Engineering,https://www.abacusinstitute.org/,www.abacusinstitute.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Academy of Technology,Adisaptagram,Private Engineering,https://aot.edu.in/,aot.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
B. P. Poddar Institute of Management & Technology,Kolkata,Private Engineering,https://bppimt.ac.in/,bppimt.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bankura Unnayini Institute of Engineering,Bankura,Private Engineering,https://www.buie.ac.in/,www.buie.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bengal Institute of Technology & Management,Santiniketan,Private Engineering,https://bitm.org.in/,bitm.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Birbhum Institute of Engineering and Technology,Suri,Private Engineering,https://www.bietsuri.ac.in/,www.bietsuri.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Calcutta Institute of Technology,Uluberia,Private Engineering,https://citulb.in/,citulb.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Camellia Institute of Engineering and Technology,Burdwan,Private Engineering,https://ciet.net.in/,ciet.net.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Camellia Institute of Technology,Madhyamgram,Private Engineering,https://camelliait.ac.in/,camelliait.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Camellia Institute of Technology and Management,Bainchi,Private Engineering,https://www.citm.org.in/,www.citm.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Camellia School of Engineering & Technology,Barasat,Private Engineering,https://cset.ac.in/,cset.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"College of Engineering and Management, Kolaghat",Kolaghat,Private Engineering,https://www.cemkolaghat.in/,www.cemkolaghat.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dream Institute of Technology,Thakurpukur,Private Engineering,https://dreaminstituteonline.com/,dreaminstituteonline.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dumkal Institute of Engineering and Technology,Dumkal,Private Engineering,http://www.besdiet.org/,www.besdiet.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Durgapur Institute of Advanced Technology and Management,Durgapur,Private Engineering,https://diatm.rahul.ac.in/web/,diatm.rahul.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Elitte College of Engineering,Sodepur,Private Engineering,https://ece.ac.in/,ece.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Future Institute of Engineering and Management,Sonarpur,Private Engineering,https://futureeducation.in/fiem/,futureeducation.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Future Institute of Technology,Garia,Private Engineering,https://futureeducation.in/fit/,futureeducation.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Gargi Memorial Institute of Technology,Baruipur,Private Engineering,https://gmitkolkata.org/,gmitkolkata.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Global Institute of Management and Technology,Krishnanagar,Private Engineering,https://gimt-india.com/,gimt-india.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Greater Kolkata College of Engineering and Management,Baruipur,Private Engineering,https://www.gkcem.ac.in/,www.gkcem.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Hemnalini Memorial College of Engineering,Haringhata,Private Engineering,https://www.hmcekalyani.org/,www.hmcekalyani.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Heritage Institute of Technology,Kolkata,Private Engineering,https://www.heritageit.edu/,www.heritageit.edu,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
IMPS College of Engineering and Technology,Malda,Private Engineering,https://impscet.net/,impscet.net,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Institute of Engineering and Management,Kolkata,Private Engineering,https://iem.edu.in/,iem.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Institute of Science and Technology,Paschim Medinipur,Private Engineering,https://www.istonline.org.in/,www.istonline.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
JLD Engineering and Management College,Baruipur,Private Engineering,https://jldemc.in/,jldemc.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Kanad Institute of Engineering and Management,Mankar,Private Engineering,https://www.kanadinstitute.in/,www.kanadinstitute.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Mallabhum Institute of Technology,Bishnupur,Private Engineering,https://www.mitbishnupur.ac.in/,www.mitbishnupur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Meghnad Saha Institute of Technology,Kolkata,Private Engineering,https://www.msit.edu.in/,www.msit.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Modern Institute of Engineering and Technology,Bandel,Private Engineering,https://mietcollege.org/,mietcollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Murshidabad College of Engineering and Technology,Murshidabad,Private Engineering,https://www.mcetbhb.net/,www.mcetbhb.net,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
NSHM Knowledge Campus,Durgapur,Private Engineering,https://www.nshm.com/,www.nshm.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Neotia Institute of Technology Management and Science,Diamond Harbour,Private Engineering,https://www.nitmas.edu.in/,www.nitmas.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Netaji Subhash Engineering College,Garia,Private Engineering,https://www.nsec.ac.in/,www.nsec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Om Dayal Group of Institutions,Uluberia,Private Engineering,https://omdayal.com/,omdayal.com,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Pailan College of Management and Technology,Joka,Private Engineering,https://pcmt-india.net/,pcmt-india.net,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
RCC Institute of Information Technology,Kolkata,Private Engineering,https://rcciit.edu.in/,rcciit.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Regent Education and Research Foundation,Barasat,Private Engineering,https://www.rerf.in/,www.rerf.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Sanaka Education Trusts Group of Institutions,Durgapur,Private Engineering,https://setgoi.ac.in/,setgoi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
St. Mary's Technical Campus,Barasat,Private Engineering,https://www.stmaryskolkata.com/,www.stmaryskolkata.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
St. Thomas College of Engineering and Technology,Kolkata,Private Engineering,https://stcet.ac.in/,stcet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Surendra Institute of Engineering and Management,Siliguri,Private Engineering,https://www.siemsiliguri.org/,www.siemsiliguri.org,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Techno Engineering College,Banipur,Private Engineering,https://www.tecb.edu.in/,www.tecb.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Techno International, Batanagar",Batanagar,Private Engineering,https://tib.edu.in/,tib.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Techno International, Rajarhat",Rajarhat,Private Engineering,https://tint.edu.in/,tint.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Barasat Government Medical College and Hospital,Barasat,Medical College,https://barasatgmch.ac.in/,barasatgmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
College Of Medicine & JNM Hospital,Kalyani,Medical College,https://comjnmh.ac.in/,comjnmh.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
College of Medicine & Sagore Dutta Hospital,Kolkata,Medical College,https://comsdh.org.in/,comsdh.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Deben Mahata Government Medical College and Hospital,Purulia,Medical College,https://dmgmch.edu.in/,dmgmch.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Diamond Harbour Government Medical College and Hospital,Diamond Harbour,Medical College,https://www.dhgmc.edu.in/,www.dhgmc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dr B C Roy Institute of Medical Sciences & Research,Kharagpur,Medical College,https://www.iitkgp.ac.in/department/SH,www.iitkgp.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dr. B C Roy Post Graduate Institute of Paediatric Sciences,Kolkata,Medical College,https://drbcroypgips.org/,drbcroypgips.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"ESIC Medical College, Kolkata",Joka,Medical College,https://mckolkata.esic.gov.in/,mckolkata.esic.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
East West Institute of Medical Sciences and Research,Burdwan,Medical College,https://medical.eastwest.org.in/,medical.eastwest.org.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Gouri Devi Institute of Medical Sciences and Hospital,Durgapur,Medical College,https://gimsh.in/,gimsh.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
ICARE Institute of Medical Sciences and Research,Haldia,Medical College,https://icaremedicalcollege.in/,icaremedicalcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
JIS School of Medical Science and Research,Howrah,Medical College,https://jismsr.org/,jismsr.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
JMN Medical College,Chakdaha,Medical College,https://jmnmedicalcollege.org.in/,jmnmedicalcollege.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Jagannath Gupta Institute of Medical Sciences and Hospital,Budge Budge,Medical College,https://jimsh.org/,jimsh.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Jakir Hossain Medical College and Research Institute,Jangipur,Medical College,https://jhmcri.com/,jhmcri.com,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Jalpaiguri Government Medical College and Hospital,Jalpaiguri,Medical College,https://jgmch.edu.in/,jgmch.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Jhargram Government Medical College and Hospital,Jhargram,Medical College,https://jgmch.ac.in/,jgmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Krishnanagar Institute of Medical Science,Krishnanagar,Medical College,https://kimsmh.in/,kimsmh.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Maharaja Jitendra Narayan Medical College and Hospital,Coochbehar,Medical College,https://www.mjnmch.ac.in/,www.mjnmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Malda Medical College and Hospital,Malda,Medical College,https://www.maldamedicalcollege.co.in/,www.maldamedicalcollege.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Murshidabad Medical College and Hospital,Berhampore,Medical College,https://www.msdmch.org/,www.msdmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
North Bengal Medical College and Hospital,Siliguri,Medical College,https://nbmch.ac.in/,nbmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
PKG Medical College and Hospital,Rajarhat,Medical College,https://pkgmedicalcollege.in/,pkgmedicalcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Prafulla Chandra Sen Government Medical College and Hospital,Arambagh,Medical College,https://pcsgmch.ac.in/,pcsgmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
R. G. Kar Medical College and Hospital,Kolkata,Medical College,https://www.rgkarmch.in/,www.rgkarmch.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Raiganj Government Medical College and Hospital,Raiganj,Medical College,https://raiganjgmch.org/,raiganjgmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Raniganj Medical College and Hospital,Raniganj,Medical College,https://rimsdh.in/,rimsdh.in,medium,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Santiniketan Medical College,Santiniketan,Medical College,https://smcbangla.com/,smcbangla.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Sarat Chandra Chattopadhyay Government Medical College and Hospital,Uluberia,Medical College,https://sccgmch.ac.in/,sccgmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Shri Ramkrishna Institute of Medical Sciences and Sanaka Hospital,Durgapur,Medical College,https://srims.setgoi.ac.in/,srims.setgoi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Tamralipto Government Medical College and Hospital,Tamluk,Medical College,https://www.tgmch.ac.in/,www.tgmch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Vivekananda Institute of Medical Sciences,Kolkata,Medical College,https://vimsrkmsp.org/,vimsrkmsp.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Burdwan Dental College and Hospital,Burdwan,Dental College,https://burdwandentalcollege.edu.in/,burdwandentalcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Dr. R. Ahmed Dental College and Hospital,Kolkata,Dental College,https://www.radch.edu.in/,www.radch.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Guru Nanak Institute of Dental Sciences and Research,Kolkata,Dental College,https://www.gnidsr.ac.in/,www.gnidsr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Haldia Institute of Dental Sciences and Research,Haldia,Dental College,https://hidsar.in/,hidsar.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Kusum Devi Sunderlal Dugar Jain Dental College and Hospital,Kolkata,Dental College,https://ksdjaindentalcollege.edu.in/,ksdjaindentalcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
North Bengal Dental College and Hospital,Siliguri,Dental College,https://www.nbdch.ac.in/,www.nbdch.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bengal Homoeopathic Medical College and Hospital,Asansol,Homeopathic,https://bhmch.org/,bhmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Birbhum Vivekananda Homoeopathic Medical College & Hospital,Sainthia,Homeopathic,http://bvhmch.com/,bvhmch.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Burdwan Homoeopathic Medical College & Hospital,Burdwan,Homeopathic,https://www.bwnhmch.com/,www.bwnhmch.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Calcutta Homoeopathic Medical College & Hospital,Kolkata,Homeopathic,http://www.chmch.in/,www.chmch.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
D.N. De Homoeopathic Medical College & Hospital,Kolkata,Homeopathic,https://dndeofficial.org/,dndeofficial.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Kharagpur Homoeopathic Medical College and Hospital,Kharagpur,Homeopathic,http://kharagpurhomoeopathicmedicalcollege.com/,kharagpurhomoeopathicmedicalcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Mahesh Bhattacharya Homoeopathic Medical College and Hospital,Howrah,Homeopathic,https://mbhmch.org/,mbhmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Metropolitan Homoeopathic Medical College & Hospital,Sodepur,Homeopathic,https://metropolitanhmch.co.in/,metropolitanhmch.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Midnapore Homoeopathic Medical College and Hospital,Paschim Medinipur,Homeopathic,https://www.mhmch.org/,www.mhmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
National Institute of Homoeopathy,Bidhannagar,Homeopathic,https://nih.ayush.gov.in/,nih.ayush.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Netai Charan Chakravarty Homoeopathic Medical College & Hospital,Howrah,Homeopathic,,,low,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Pratap Chandra Memorial Homoeopathic Hospital & College,Kolkata,Homeopathic,https://www.pcmhhc.org.in/,www.pcmhhc.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Calcutta Unani Medical College and Hospital,Kolkata,AYUSH,https://calumch.org/,calumch.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Chagpori Tibetan Medical Institute,Darjeeling,AYUSH,https://chagpori.org/,chagpori.org,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
